target	simulator	tests_total	wall_time_s	sum_test_duration_s	max_test_duration_s	vivado_wall_over_target_wall	evidence_path	compile_once_tests_total	compile_once_wall_time_s	compile_once_sum_test_duration_s	compile_once_max_test_duration_s
quartus-23-4-qrun	qrun	53	41.995	41.922000000000004	3.405	5.956	/srv/share/repo/sll/g_sll_infra/g_sll_infra_dev_001/g_ext_tools_qualified/g_svunit_x/r_v3_38_1_x0_3_0_artefacts/20260420-150941-0d716652--quartus-23-4-qrun	1	0.866	0.812	0.812
quartus-23-4-modelsim	modelsim	53	42.653	42.585999999999984	3.366	5.864	/srv/share/repo/sll/g_sll_infra/g_sll_infra_dev_001/g_ext_tools_qualified/g_svunit_x/r_v3_38_1_x0_3_0_artefacts/20260420-150941-0d716652--quartus-23-4-modelsim	1	0.873	0.823	0.823
quartus-25-1-sim-only-qrun	qrun	53	58.919	58.83699999999997	3.809	4.245	/srv/share/repo/sll/g_sll_infra/g_sll_infra_dev_001/g_ext_tools_qualified/g_svunit_x/r_v3_38_1_x0_3_0_artefacts/20260420-150941-0d716652--quartus-25-1-sim-only-qrun	1	1.258	1.2	1.2
quartus-25-1-sim-only-modelsim	modelsim	53	58.181	58.109000000000016	3.726	4.299	/srv/share/repo/sll/g_sll_infra/g_sll_infra_dev_001/g_ext_tools_qualified/g_svunit_x/r_v3_38_1_x0_3_0_artefacts/20260420-150941-0d716652--quartus-25-1-sim-only-modelsim	1	1.217	1.159	1.159
verilator-5-044	verilator	58	126.82	126.70900000000006	3.973	1.972	/srv/share/repo/sll/g_sll_infra/g_sll_infra_dev_001/g_ext_tools_qualified/g_svunit_x/r_v3_38_1_x0_3_0_artefacts/20260420-150941-0d716652--verilator-5-044	1	3.562	3.465	3.465
vivado-2025-2-1-synth-sim-full-xsim	xsim	63	250.109	249.99100000000004	14.504	1.000	/srv/share/repo/sll/g_sll_infra/g_sll_infra_dev_001/g_ext_tools_qualified/g_svunit_x/r_v3_38_1_x0_3_0_artefacts/20260420-150941-0d716652--vivado-2025-2-1-synth-sim-full-xsim	1	5.078	4.988	4.988
